UserID,PlayedTimestamp,ArtistID,ArtistName,TrackID,TrackName,FirstPlayed,MinsSinceFirstPlay,MinsSincePrevPlay,historyID
1,2006-08-13 14:44:23,6b77d8ef-c405-4846-9d5f-2b93e6533101,Rei Harakami,328913b8-f31f-4abf-976e-7641174f680b,Lust,2006-08-13 13:59:20,45,22,7
1,2006-08-15 12:27:51,95214660-2af2-4411-b53b-62abff681610,Chari Chari,c2656dab-0d16-4640-9885-dbcf43e6d947,One,2006-08-13 13:59:20,2788,2533,52
1,2006-08-15 13:41:18,fc61dd75-880b-44ba-9ba9-c7b643d33413,Prefuse 73,bba603a1-f063-4e02-9559-37ae2393b1f5,Detchibe,2006-08-13 13:59:20,2861,11,64
1,2006-08-15 14:36:42,873aae8b-3d7f-4d41-8c30-6e4a368b6d00,Bayaka,Null,Mi Cuerpo Tocaito Con Agua Mar,2006-08-13 13:59:20,2917,11,73
1,2006-08-16 10:27:16,07729ca8-b15b-44d4-881b-6a325f61665a,Maysa,7a215bae-4839-4dee-9003-739c5f659bd9,If It'S Love,2006-08-13 13:59:20,4107,1132,84
1,2006-08-16 13:43:02,07729ca8-b15b-44d4-881b-6a325f61665a,Maysa,4d201e6a-e823-4ed0-80a3-ebc32492c369,Tailor Made Love,2006-08-13 13:59:20,4303,146,99
1,2006-08-17 13:33:27,aefe3aa9-27ca-4a25-b5b9-7c83d0341d4a,Suzukiski,Null,Ozma,2006-08-13 13:59:20,5734,1334,120
1,2006-08-18 19:09:27,7ad2826f-0a07-4c72-bb8f-6a4826ef71df,吉澤はじめ,Null,Keep It Movin' (Domu Remix),2006-08-13 13:59:20,7510,1641,159
1,2006-08-19 12:26:52,aefe3aa9-27ca-4a25-b5b9-7c83d0341d4a,Suzukiski,Null,Ozma,2006-08-13 13:59:20,8547,986,170
1,2006-08-20 13:01:54,aefe3aa9-27ca-4a25-b5b9-7c83d0341d4a,Suzukiski,Null,Hint Oyaji,2006-08-13 13:59:20,10022,1342,210
1,2006-08-21 03:36:08,7ad2826f-0a07-4c72-bb8f-6a4826ef71df,吉澤はじめ,Null,Beyond The Sunshine (Live Drum Mix Featuring Peter Erskine),2006-08-13 13:59:20,10896,745,244
1,2006-08-21 04:33:20,1f9df192-a621-4f54-8850-2c5373b7eac9,Ludwig Van Beethoven,b7581b89-ef30-467b-a9f2-d84ee64af544,Symphony No. 2 - Scherzo,2006-08-13 13:59:20,10954,38,248
1,2006-08-21 05:32:45,aefe3aa9-27ca-4a25-b5b9-7c83d0341d4a,Suzukiski,Null,Hint Oyaji,2006-08-13 13:59:20,11013,37,255
1,2006-08-21 09:09:25,aefe3aa9-27ca-4a25-b5b9-7c83d0341d4a,Suzukiski,Null,Extra Ignored,2006-08-13 13:59:20,11230,207,259
1,2006-08-21 14:38:07,7ad2826f-0a07-4c72-bb8f-6a4826ef71df,吉澤はじめ,Null,Verao No Ar (Da Lata Remix),2006-08-13 13:59:20,11558,303,267
1,2006-08-21 15:04:02,7a4311d2-5f0e-40df-b03d-ac4a5465b236,Tin Hat Trio,76e97acc-ff3d-440a-9189-6070c1c023fd,Bill,2006-08-13 13:59:20,11584,12,270
1,2006-08-21 16:56:13,fb77a689-1515-4d82-80c8-042da82f5554,Modaji,f93cd1aa-827e-45b5-bf5d-8526a61f4a7d,The Riot Act,2006-08-13 13:59:20,11696,38,284
1,2006-08-21 17:08:10,20e5ca41-9bc6-44df-a55f-63ff2b5edaa8,Don Blackman,f18de7c3-c40a-4408-a727-ac1115b5e1e5,"Holding You, Loving You",2006-08-13 13:59:20,11708,12,285
1,2006-08-21 17:55:52,c60e178f-36f1-4169-9c03-84addbdbf104,"Grover Washington, Jr.",75914ac6-d289-4206-981e-ffe47dd82d2a,Loran'S Dance,2006-08-13 13:59:20,11756,31,289
1,2006-08-21 18:37:07,a4f478db-7e4f-4d85-b676-14619b0e838a,A New Funky Generation,Null,Lubumba '98,2006-08-13 13:59:20,11797,13,297
1,2006-08-23 12:32:01,df765d93-621c-437f-99fe-fda9e135f89a,Cornelius,af40062e-09fd-4d8f-84f3-47d7cfe7f98c,Music,2006-08-13 13:59:20,14312,2511,299
1,2006-08-23 13:31:14,df765d93-621c-437f-99fe-fda9e135f89a,Cornelius,af40062e-09fd-4d8f-84f3-47d7cfe7f98c,Music,2006-08-13 13:59:20,14371,33,306
1,2006-08-23 23:56:25,df765d93-621c-437f-99fe-fda9e135f89a,Cornelius,af40062e-09fd-4d8f-84f3-47d7cfe7f98c,Music,2006-08-13 13:59:20,14997,580,320
1,2006-08-24 14:08:42,df765d93-621c-437f-99fe-fda9e135f89a,Cornelius,af40062e-09fd-4d8f-84f3-47d7cfe7f98c,Music,2006-08-13 13:59:20,15849,852,321
1,2006-08-24 15:04:23,df765d93-621c-437f-99fe-fda9e135f89a,Cornelius,af40062e-09fd-4d8f-84f3-47d7cfe7f98c,Music,2006-08-13 13:59:20,15905,37,326
