MinSincePrev,HistoryID,TrackID
0,1,aca058fc-a41c-4d46-87a4-1819f8d6ea06
6,2,b5f701a7-3625-4dee-a147-6a9817e4f7b8
3,3,51cdfeec-128f-4257-a4c8-c5eb0c1c4d72
2,4,aca058fc-a41c-4d46-87a4-1819f8d6ea06
2,5,37cf5ddd-222b-4d5d-8c04-79b1e3a2a710
3,6,b5f701a7-3625-4dee-a147-6a9817e4f7b8
4,7,764ae4ef-a0d2-4b94-b9ce-11bbfa2a6a11
4,8,68f4bd57-9da9-4f98-ac23-7128e80f9368
3,9,f247a77e-8b9d-49f0-ade1-7e72c9109715
3,10,49e403e2-f677-4f94-9916-6f2663f34f7a
3,11,23ac2747-0bd3-4714-90b5-79f2f06aa108
4,12,f6021b3c-3e80-43a3-be3a-f452985bb4fe
4,13,ba9d939d-dd9a-4697-b9c9-e268f4a09eb1
4,14,e95bcf63-1378-4015-a95a-bedf4a646977
3,15,23ac2747-0bd3-4714-90b5-79f2f06aa108
2,16,382136e9-397f-4728-b5be-6cdd9e3b6d7d
5,17,7e4a4b81-5416-4b8d-9ccd-8cc52a260f1b
6,18,58375626-fddb-4465-a9cb-f5ecc4811687
187,19,23ac2747-0bd3-4714-90b5-79f2f06aa108
3,20,30f39b9b-e965-42da-8dd1-4565334c62e9
2,21,ea99ce6c-29bf-44dc-9fda-5f393eb0d707
6,22,bdc846e7-6c26-4193-82a6-8d1b5a4d3429
3,23,Null
2,24,Null
5,25,a1fec20e-07e3-435a-841c-f478edc0a4b7
2,26,d59b66b4-165e-445d-8be0-ac789ec459ce
4,27,ac5acdfd-436b-4465-a705-53c7482e9946
6,28,Null
11,29,71557258-6534-4b56-8007-3903ace2d869
4,30,8e796fcf-1e35-4c3e-8a86-3da751d46e88
2,31,7e81192b-cfd2-4686-bea2-2f025e51f3ce
4,32,e1e4aca4-cdce-45ac-a5fc-d2e4fc58b51d
7,33,Null
4,34,29247af0-de93-4676-9f91-2d1119d7c9a9
6,35,886866a8-3be5-49c3-8741-39dfbe2ecb66
6,36,5606bcff-177a-4ea7-9af9-aaa88f7854a0
765,37,23ac2747-0bd3-4714-90b5-79f2f06aa108
3,38,f6021b3c-3e80-43a3-be3a-f452985bb4fe
3,39,30f39b9b-e965-42da-8dd1-4565334c62e9
1,40,58375626-fddb-4465-a9cb-f5ecc4811687
4,41,Null
3,42,d6b2b5b4-66c3-49ce-a4b4-289a0691b7ba
2,43,ccc5f270-208d-4bb9-af44-0b175ad4f81b
1,44,259259bd-571c-4a45-b3e2-7f8af522fac8
17,45,ff05fed7-7061-4b63-8d56-074e7a78472c
4,46,cceea608-d259-4617-b51d-0bbd2cafda14
3,47,382136e9-397f-4728-b5be-6cdd9e3b6d7d
